Date,Sales
2023-01-01,233.39
2023-01-02,226.89
2023-01-03,226.79
2023-01-04,218.68
2023-01-05,167.72
2023-01-06,173.92
2023-01-07,234.06
2023-01-08,241.69
2023-01-09,223.16
2023-01-10,227.58
2023-01-11,181.84
2023-01-12,165.97
2023-01-13,186.33
2023-01-14,167.09
2023-01-15,194.73
2023-01-16,224.18
2023-01-17,199.35
2023-01-18,200.27
2023-01-19,160.01
2023-01-20,156.13
2023-01-21,237.55
2023-01-22,227.59
2023-01-23,239.66
2023-01-24,194.0
2023-01-25,185.99
2023-01-26,183.27
2023-01-27,164.24
2023-01-28,218.64
2023-01-29,222.98
2023-01-30,235.36
2023-01-31,213.35
2023-02-01,236.8
2023-02-02,183.67
2023-02-03,168.99
2023-02-04,230.46
2023-02-05,213.46
2023-02-06,248.26
2023-02-07,189.07
2023-02-08,176.08
2023-02-09,190.76
2023-02-10,207.8
2023-02-11,220.32
2023-02-12,238.45
2023-02-13,240.95
2023-02-14,201.58
2023-02-15,191.13
2023-02-16,180.5
2023-02-17,217.06
2023-02-18,226.65
2023-02-19,208.39
2023-02-20,256.33
2023-02-21,226.33
2023-02-22,194.87
2023-02-23,204.83
2023-02-24,219.42
2023-02-25,241.29
2023-02-26,229.75
2023-02-27,246.55
2023-02-28,243.54
2023-03-01,230.81
2023-03-02,185.89
2023-03-03,197.97
2023-03-04,203.42
2023-03-05,225.49
2023-03-06,271.87
2023-03-07,266.93
2023-03-08,212.74
2023-03-09,218.43
2023-03-10,211.8
2023-03-11,215.53
2023-03-12,259.53
2023-03-13,289.27
2023-03-14,241.97
2023-03-15,248.36
2023-03-16,148.85
2023-03-17,223.89
2023-03-18,233.06
2023-03-19,249.21
2023-03-20,263.23
2023-03-21,205.82
2023-03-22,215.56
2023-03-23,211.27
2023-03-24,239.89
2023-03-25,223.84
2023-03-26,241.9
2023-03-27,254.24
2023-03-28,266.76
2023-03-29,229.41
2023-03-30,196.42
2023-03-31,223.49
2023-04-01,239.03
2023-04-02,280.33
2023-04-03,253.12
2023-04-04,244.79
2023-04-05,217.88
2023-04-06,180.63
2023-04-07,222.03
2023-04-08,245.19
2023-04-09,263.94
2023-04-10,265.35
2023-04-11,225.92
2023-04-12,220.19
2023-04-13,205.93
2023-04-14,202.94
2023-04-15,239.63
2023-04-16,274.81
2023-04-17,310.65
2023-04-18,260.6
2023-04-19,236.64
2023-04-20,214.18
2023-04-21,183.5
2023-04-22,245.21
2023-04-23,270.81
2023-04-24,325.08
2023-04-25,256.15
2023-04-26,240.4
2023-04-27,217.86
2023-04-28,201.39
2023-04-29,271.48
2023-04-30,287.53
2023-05-01,294.52
2023-05-02,244.69
2023-05-03,265.31
2023-05-04,193.4
2023-05-05,239.38
2023-05-06,295.32
2023-05-07,255.57
2023-05-08,270.26
2023-05-09,267.76
2023-05-10,230.07
2023-05-11,193.31
2023-05-12,231.9
2023-05-13,233.15
2023-05-14,287.73
2023-05-15,266.08
2023-05-16,299.65
2023-05-17,227.36
2023-05-18,220.77
2023-05-19,249.68
2023-05-20,232.66
2023-05-21,285.7
2023-05-22,313.5
2023-05-23,239.38
2023-05-24,249.6
2023-05-25,235.29
2023-05-26,251.93
2023-05-27,235.43
2023-05-28,257.62
2023-05-29,300.68
2023-05-30,280.36
2023-05-31,253.81
2023-06-01,239.91
2023-06-02,225.58
2023-06-03,267.69
2023-06-04,292.78
2023-06-05,278.83
2023-06-06,314.62
2023-06-07,261.16
2023-06-08,212.04
2023-06-09,255.2
2023-06-10,246.44
2023-06-11,305.54
2023-06-12,319.18
2023-06-13,263.77
2023-06-14,273.83
2023-06-15,247.0
2023-06-16,261.39
2023-06-17,306.75
2023-06-18,287.78
2023-06-19,283.82
2023-06-20,265.28
2023-06-21,241.13
2023-06-22,240.09
2023-06-23,254.66
2023-06-24,277.24
2023-06-25,312.11
2023-06-26,302.04
2023-06-27,315.03
